"Рег. номер cертификата соответствия (СС)","Номер бланка","Заявитель","Юридический адрес заявителя","Контакты заявителя","Изготовитель","Юридический адрес изготовителя","Контакты изготовителя","Наименование продукции","Датавыдачи СС","Дата окончания действия СС","Класс","Схема","Органпосертификации","ЦОС","Примечание"
"ОГН4.RU.1104.B02196","П03903; ПП 00482; ПП 00483","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Кабели симметричные для систем безопасности гибкие, не распространяющие горение, огнестойкие, на номинальное напряжение до 300 В переменного тока частоты 50 Гц, с токопроводящими многопроволочными жилами из медной мягкой проволоки диаметром 0,78; 0,90; 1,10; 1,20; 1,50; 2,00 мм (или сечением жил 0,35; 0,50; 0,75; 1,00; 1,50; 2,50 мм. соответственно), с изоляцией из кремнийорганической резины, скрученными в пару совместно с полиимидной пленкой, с числом пар от 1 до 40, с дополнительным огнестойким барьером из стеклослюденитовой ленты поверх каждой скрученной пары или без огнестойкого барьера, с поясной изоляцией, с экраном из ламинированной алюминиевой фольги и оплетки из медных луженых проволок и контактным проводником, с оболочкой из полимерной композиции, не содержащей галогенов, с защитным элементом (броней) или без него, с защитным шлангом или без него, марок: КСБ Гнг(А)-FRHF, КСБ ГКГнг(А)-FRHF, КСБ ГКнг(А)-FRHF, КСБ ГСнг(А)-FRHF,  КСБ ГСКГнг(А)-FRHF, КСБ ГСКнг(А)-FRHF. Кабели симметричные для систем безопасности гибкие, не распространяющие горение, огнестойкие, на номинальное напряжение до 300 В переменного тока частоты 50 Гц, с токопроводящими многопроволочными жилами из медной мягкой проволоки диаметром 0,78; 0,90; 1,10; 1,20; 1,50; 2,00 мм (или сечением жил 0,35; 0,50; 0,75; 1,00; 1,50; 2,50 мм. соответственно), с изоляцией из кремнийорганической резины, скрученными в пару совместно с полиимидной пленкой, с числом пар от 1 до 40, с дополнительным огнестойким барьером из стеклослюденитовой ленты поверх каждой скрученной пары или без огнестойкого барьера, с поясной изоляцией, с экраном из ламинированной алюминиевой фольги и оплетки из медных луженых проволок и контактным проводником, с оболочкой из поливинилхлоридного пластиката пониженной пожарной опасности с низким дымо- и газовыделением, с защитным элементом (броней) или без него, с защитным шлангом или без него, марок: КСБ Гнг(А)-FRLS, КСБ ГКГнг(А)-FRLS, КСБ ГКнг(А)-FRLS, КСБ ГСнг(А)-FRLS, КСБ ГСКГнг(А)-FRLS, КСБ ГСКнг(А)-FRLS. Продукция изготовлена в соответствии с ТУ 16.К99-040-2009 с изменениями № 1?7 Кабели симметричные для систем безопасности гибкие, огнестойкие. Технические условия». Серийный выпуск","20.12.2022","19.12.2025","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02197","П03904; ПП 00484; ПП 00485; ПП 00486","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Кабели для электрических установок, не распространяющие горение, огнестойкие, на номинальное переменное напряжение до 450/750 В включительно частотой до 400 Гц, с медными токопроводящими жилами, с изоляцией из кремнийорганической резины, с числом жил от 2 до 40, номинальным сечением жил от 0,75 до 16 мм? , с экраном или без экрана, с внутренним покрытием (заполнением) или без него, с оболочкой из безгалогенного термопластичного полиуретана, с защитным элементом (броней) или без брони, с защитным шлангом или без защитного шланга, марок: КУНРС Унг(А)-FRHF, КУНРС ЭУнг(А)-FRHF, КУНРС УКУнг(А)-FRHF, КУНРС ЭУКУнг(А)-FRHF. Кабели для электрических установок, не распространяющие горение, огнестойкие, на номинальное переменное напряжение до 450/750 В включительно частотой до 400 Гц, с медными токопроводящими жилами, с изоляцией из кремнийорганической резины, с числом жил от 2 до 40, номинальным сечением жил от 0,75 до 16 мм? , с экраном или без экрана, с внутренним покрытием (заполнением) или без него, с оболочкой из поливинилхлоридного пластиката пониженной пожарной опасности, с защитным элементом (броней) или без брони, с защитным шлангом или без защитного шланга, марок: КУНРС Внг(А)-FRLS,  КУНРС ЭВнг(А)-FRLS,  КУНРС ВКВнг(А)-FRLS, КУНРС ЭВКВнг(А)-FRLS. Кабели для электрических установок, не распространяющие горение, огнестойкие, на номинальное переменное напряжение до 450/750 В включительно частотой до 400 Гц, с медными токопроводящими жилами, с изоляцией из кремнийорганической резины, с числом жил от 2 до 40, номинальным сечением жил от 0,75 до 16 мм? , с экраном или без экрана, с внутренним покрытием (заполнением) или без него, с оболочкой из безгалогенной полимерной композиции, с защитным элементом (броней) или без брони, с защитным шлангом или без защитного шланга, марок: КУНРС Пнг(А)-FRHF, КУНРС ЭПнг(А)-FRHF, КУНРС ПКПнг(А)-FRHF, КУНРС ЭПКПнг(А)-FRHF. Продукция изготовлена в соответствии с ТУ 16. К99-043-2011 с изменениями № 1?6 Кабели для электрических установок на напряжение до 450/750 В включительно, огнестойкие. Технические условия». Серийный выпуск","20.12.2022","19.12.2025","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02198","П03905;","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Спецкабель» (ООО НПП Спецкабель»)","Российская Федерация, 107497, город Москва, улица Бирюсинка, дом 6, корпус 1-5, помещение XVI, комната 15","+7(495)134-21-34; 462-37-82; info@spcable.ru","Кабели монтажные нагревостойкие не распространяющие горение, для контрольно-измерительных приборов и аппаратуры, на номинальное напряжение до 1000 В переменного тока частотой до 400Гц, с многопроволочными токопроводящими жилами сечением 0,35; 0,50; 0,75; 1,0; 1,5; 2,5; 4; 6 кв.мм, из медной мягкой или медной луженой проволоки, с изоляцией из сшитого полиэтилена, с числом жил от 4 до 40 или числом пар(троек) от 1 до 40, с индивидуальным экраном пар (троек) или без экрана, с общим экраном, с внутренним заполнением или без него, с оболочкой из сшитой полимерной композиции , с защитным элементом (броней) или без него, с защитным шлангом или без него, марок СКАБ 1000Пснг(А)-HF; СКАБ 1000ПсКГнг(А)-HF; СКАБ 1000ПсКнг(А)-HF. Продукция изготовлена в соответствии с ТУ 16.К99-073-2015 с изменением № 1 Кабели универсальные нагревостойкие для контрольно-измерительных приборов и аппаратуры. Технические условия». Серийный выпуск","20.12.2022","19.12.2025","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02216","П03919;","Общество с ограниченной ответственностью Научно-производственная компания ТехноПром»","Российская Федерация, 143700, Московская область, рабочий поселок Шаховская, деревня Судислово, дом 89, офис 6","+7(495)215-07-14; info@texnoprom.com","Общество с ограниченной ответственностью Научно-производственная компания ТехноПром»","Российская Федерация, 143700, Московская область, рабочий поселок Шаховская, деревня Судислово, дом 89, офис 6","+7(495)215-07-14; info@texnoprom.com","Анодные заземлители протяженные типа ПВЕК.АЗП типов: ПВЕК.АЗП.Т.П (типовой вариант исполнения с токозадающей оболочкой из электропроводного полимера), ПВЕК.АЗП.М.П (модульный вариант исполнения с токозадающей оболочкой из электропроводного полимера), ПВЕК.АЗП.Т.К (типовой вариант исполнения с токозадающей оболочкой из электропроводного каучука), ПВЕК.АЗП.М.К (модульный вариант исполнения с токозадающей оболочкой из электропроводного каучука). Продукция изготовлена в соответствии с  ТУ 3435-005-87598003-2011 с изменением №5 Анодные заземлители, протяженные типа ПВЕК.АЗП». Серийный выпуск.|28.12.2022|21.03.2024|Id|1d|ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)|Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства|Выдан взамен СС рег. № ОГН4.RU.1104.В01916","","","","","","",""
"ОГН4.RU.1104.B02228","П03928;","Акционерное общество ГМС Ливгидромаш»","Российская Федерация, 303851, Орловская область, город Ливны, улица Мира, дом 231","+7(48677)7-80-00; 7-80-80; lgm@hms-livgidromash.ru","Акционерное общество ГМС Ливгидромаш»","Российская Федерация, 303851, Орловская область, город Ливны, улица Мира, дом 231","+7(48677)7-80-00; 7-80-80; lgm@hms-livgidromash.ru","Насосы вакуумные водокольцевые и агрегаты электронасосные на их основе типа ВВН1. Продукция изготовлена в соответствии с ТУ 3648-276-05747979-2005 с изменением № 3-5 Насосы вакуумные водокольцевые типа ВВН и агрегаты электронасосные на их основе». Серийный выпуск","09.01.2023","26.11.2023","Iа","1а","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1104.В00864"
"ОГН4.RU.1104.B02229","П03929; ПП 00914","Акционерное общество ГМС Ливгидромаш»","Российская Федерация, 303851, Орловская область, город Ливны, улица Мира, дом 231","+7(48677)7-80-00; 7-80-80; lgm@hms-livgidromash.ru","Акционерное общество ГМС Ливгидромаш»","Российская Федерация, 303851, Орловская область, город Ливны, улица Мира, дом 231","+7(48677)7-80-00; 7-80-80; lgm@hms-livgidromash.ru","Насосы шестерённые и агрегаты насосные на их основе, типов: согласно приложению № 1 - бланк № ПП 00914. Продукция изготовлена в соответствии: согласно приложению № 1 - бланк № ПП 00914. Серийный выпуск.","09.01.2023","10.12.2023","Ia","1a","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1104.В00881"
"ОГН4.RU.1104.B02230","П03930; ПП 00911; ПП 00912; ПП 00913","Акционерное общество Завод Инвертор»","Российская Федерация, 460961, город Оренбург, проезд Автоматики, дом 8","+7(3532)48-24-48; 48-24-51; info@sbp-invertor.ru","Акционерное общество Завод Инвертор»","Российская Федерация, 460961, город Оренбург, проезд Автоматики, дом 8","+7(3532)48-24-48; 48-24-51; info@sbp-invertor.ru","Системы, агрегаты бесперебойного питания номинальной выходной мощностью от 5 до 120 кВА: 1) трехфазные с входным и выходным напряжением 400/230В, номинальным напряжением звена постоянного тока 396В и тиристорным 6-пульсным выпрямителем,   типа: СБП-5-400-50-УХЛ4, СБП-6-400-50-УХЛ4,СБП-8-400-50-УХЛ4,СБП-10-400-50-УХЛ4,СБП-15-400-50-УХЛ4, СБП-20-400-50-УХЛ4,СБП-30-400-50-УХЛ4,СБП-40-400-50-УХЛ4,СБП-50-400-50-УХЛ4,СБП-60-400-50-УХЛ4,СБП-80-400-50-УХЛ4,СБП-100-400-50-УХЛ4, СБП-120-400-50-УХЛ4, 2)трехфазные с входным и выходным напряжением 400/230В, номинальным напряжением звена постоянного тока 220В, типа:СБП-5-400-50-УХЛ4, СБП-6-400-50-220-УХЛ4, СБП-8-400-50-220-УХЛ4, СБП-10-400-50-220-УХЛ4, СБП-15-400-50-220-УХЛ4, СБП-20-400-50-220-УХЛ4, СБП-30-400-50-220-УХЛ4, СБП-40-400-50-220-УХЛ4, АБП-40-400-50-220-УХЛ4, АБП-100-400-50-220-УХЛ4. 3) однофазные с выходным напряжением 230В, типа: СБП-5-230-50-УХЛ4, СБП-6-230-50-УХЛ4, СБП-8-230-50-УХЛ4, СБП-10-230-50-УХЛ4, СБП-15-230-50-УХЛ4, СБП-20-230-50-УХЛ4, с основными комплектующими:  - инвертор И-ПТПТ-144-400-50 УХЛ4 по ТИДЖ.435331.015 ТУ, производства АО Завод Инвертор»; - аккумуляторные батареи свинцово-кислотные закрытые герметизированные на напряжение 12В: -  серии ШТАРК АГН по ТУ 3481-117-73200020-2015, производства ООО Рязанский аккумуляторный завод Тангстоун», Россия; -  типа Delta HRL, по ТУ 3481-044-18055869-17, производства FUJIAN MINHUA POWER SOURCE CO., LTD», Китай; Системы, агрегаты бесперебойного питания номинальной выходной мощностью от 5 до 120 кВА с основными комплектующими: аккумуляторные батареи свинцово-кислотные закрытые герметизированные на напряжение 12В: - торговой марки Leoch» серий DJM, DJW, по ТУ 3481-016-74783213-13, производства Leoch Battery Shenzhen Corp.», Китай; - торговой марки Источник» серий СГАН, СГГН по ТУ 3481-011-96746626-2015, производства ООО НПП Источник», Россия; - серии Sprinter XP по ТУ-3481-305-26342755-2009, производства GNB Industrial Power a Division of EXIDE Technologies GmbH», Германия; - UFTG торговой марки Uralcell» по ТУ 27.20.22-006-25946066-2019, производства ООО СПК УРАЛЭЛЕКТРО», Россия. Продукция изготовлена в соответствии с ТИДЖ.565336.011ТУ с изменениями № 1-28 Системы бесперебойного питания». Серийный выпуск","12.01.2023","19.01.2024","IId","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС рег. № ОГН4.RU.1104.В01671"
"ОГН4.RU.1104.B02236","П03932;","Общество с ограниченной ответственностью Антикоррозийные защитные покрытия» (ООО АКЗ покрытия»)","Российская Федерация,  117420, город Москва, вн. тер. г. муниципальный округ Черёмушки, улица Наметкина, дом 10Б, строение 1, этаж 1, помещ. 5, ком. 1-24","+7(495)363-56-69; info@akrus-akz.ru","Общество с ограниченной ответственностью Антикоррозийные защитные покрытия» (ООО АКЗ покрытия»)","Российская Федерация,  117420, город Москва, вн. тер. г. муниципальный округ Черёмушки, улица Наметкина, дом 10Б, строение 1, этаж 1, помещ. 5, ком. 1-24","+7(495)363-56-69; info@akrus-akz.ru","Система покрытий АКРУС® - уралкид для противокоррозионной защиты наружных поверхностей технологического оборудования и металлоконструкций на объектах ПАО Газпром», общей толщиной 160 мкм, состоящая из двух слоев грунт-эмали АКРУС-уралкид» толщиной по 80 мкм. Продукция изготовлена в соответствии с ТУ 20.30.12-057-93475776-2017 с изменением № 1 Система покрытий АКРУС® - уралкид для противокоррозионной защиты наружных поверхностей технологического оборудования и металлоконструкций на объектах ПАО Газпром». Серийный выпуск","18.01.2023","17.01.2026","I d","1d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.BY.1104.B02237","П03933; ПП 00915","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Трансформаторы сухие мощностью до 2500 кВА включительно классов напряжения до 10 кВ включительно, типов ТСГЛ, ТСДГЛ, ТСЗГЛ, ТСДЗГЛ, ТСЗГЛФ, ТСДЗГЛФ. Продукция изготовлена в соответствии с ТУ РБ 05544590.018-96 с изменениями № 1-32 Трансформаторы сухие мощностью до 3150 кВ·А классов напряжения до 10 кВ». Серийный выпуск.","18.01.2023","02.11.2024","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС ОГН4.BY.1104.В01478"
"ОГН4.BY.1104.B02238","П03934; ПП 00916","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Трансформаторы сухие с литой изоляцией мощностью до 1600 кВ А включительно, классов напряжения до 10 кВ включительно, типов ТСЛ, ТСЗЛ. Продукция изготовлена в соответствии с ТУ BY 100211261.099-2018 с изменениями № 1-10 Трансформаторы сухие c литой изоляцией классов напряжения до 10 кВ включительно». Серийный выпуск.","18.01.2023","02.11.2024","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС ОГН4.BY.1104.В01479"
"ОГН4.BY.1104.B02239","П03935; ПП 00917","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Трансформаторы силовые масляные мощностью до 2500 кВ·А включительно, напряжением до 35 кВ включительно типов ТМГ, ТМГСУ. Продукция изготовлена в соответствии с ТУ РБ 100211261.015-2001 с изменениями №1-49 Трансформаторы силовые мощностью до 2500 кВ·А классов напряжения до 35 кВ». Серийный выпуск.","18.01.2023","02.11.2024","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС ОГН4.BY.1104.В01480"
"ОГН4.RU.1104.B02242","П03936;","Общество с ограниченной ответственностью Научно-производственная компания ПромТехМастер»","Российская Федерация, 141231, Россия, Московская обл., г. Пушкино, р.п. Лесной, ул. Центральная, дом 1, офис 3.","+7(495)149-79-78, +7(495)149-79-78; info@npk-ptm.ru","Общество с ограниченной ответственностью Научно-производственная компания ПромТехМастер»","Российская Федерация, 141231, Россия, Московская обл., г. Пушкино, р.п. Лесной, ул. Центральная, дом 1, офис 3.","+7(495)149-79-78, +7(495)149-79-78; info@npk-ptm.ru","Аноды протяженные типа АПр.ПТМ с рабочими элементами: из электропроводящего графитонаполненного полимера тип 1; из смешанных оксидов металлов на основе титана с покрытием из ММО тип 2. Продукция изготовлена в соответствии с ТУ 27.12.31-041-19394148-2020 с изменением №1 Аноды протяженные типа АПр.ПТМ». Серийный выпуск.","20.01.2023","19.01.2026","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02248","П03940;","Общество с ограниченной ответственностью Центр Инновационных Технологий-Э.С.»","Российская Федерация, 410010, Саратовская обл., г. Саратов, ул. 1-й Пугачевский поселок, д. 44 Б","+7(8452)69-21-96; kom@cit-es.ru","Общество с ограниченной ответственностью Центр Инновационных Технологий-Э.С.»","Российская Федерация, 410010, Саратовская обл., г. Саратов, ул. 1-й Пугачевский поселок, д. 44 Б","+7(8452)69-21-96; kom@cit-es.ru","Преобразователи для катодной защиты типа ПКЗ-АР. Продукция изготовлена в соответствии с ТУ3415-003-13766904-2002 с изменениями №1-29 Преобразователь для катодной защиты ПКЗ-АР». Серийный выпуск","01.02.2023","31.01.2026","I b","1b","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02261","П03947; ПП 00921","Закрытое акционерное общество Производственная компания Химсервис» имени А.А. Зорина»","Российская Федерация, 301651, Тульская область, Новомосковский р-н, г. Новомосковск, ул. Свободы, д. 9","+7(48762)797-74; adm@ch-s.ru","Закрытое акционерное общество Производственная компания Химсервис» имени А.А. Зорина»","Российская Федерация, 301651, Тульская область, Новомосковский р-н, г. Новомосковск, ул. Свободы, д. 9","+7(48762)797-74; adm@ch-s.ru","Медно-сульфатные электроды сравнения длительного действия типов СМЭС-2 Менделеевец», СМЭС-2(ВЭ) Менделеевец», вспомогательный электрод ВЭ Менделеевец». Продукция изготовлена в соответствии с ТУ 3435-016-24707490-2007 с изменением № 9-10 Медно-сульфатный электрод сравнения длительного действия СМЭС Менделеевец». Серийный выпуск.","02.02.2023","01.02.2026","II a","2a","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.BY.1104.B02264","П03948; ПП 00922; ПП 00923","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Устройства комплектные распределительные типа КРУ-МЭТЗ-10-14 с номинальными токами главных цепей до 2500 А включительно, на номинальное напряжение до 10 кВ включительно c основными комплектующими. Продукция изготовлена в соответствии с ТУ BY100211261.094-2015 Устройства комплектные распределительные КРУ-МЭТЗ-10-14» c изменениями №1-4. Серийный выпуск.","03.02.2023","17.04.2025","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС ОГН4.BY.1104.В01696"
"ОГН4.BY.1104.B02265","П03949; ПП 00924; ПП 00925","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Открытое акционерное общество МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА» (ОАО МИНСКИЙ ЭЛЕКТРОТЕХНИЧЕСКИЙ ЗАВОД ИМЕНИ В.И.КОЗЛОВА»)","Республика Беларусь, 220037, г. Минск, ул. Уральская, 4, каб. 502","+3(751)727-227-27; 734-727-77; info@metz.by","Подстанции трансформаторные комплектные мощностью от 10 до 2500 кВА включительно, на напряжение до 10 кВ включительно, типов КТПСН, 2КТПСН, КТПСНС, 2КТПСНС, КТПСП, 2КТПСП, 2КТПЦ c основными комплектующими. Продукция изготавливается в соответствии с ТУ 16.530.191-77 с изменениями № 1-36 Подстанции трансформаторные комплектные КТПСН, КТПСНС, КТПСП, 2КТПЦ». Серийный выпуск.","03.02.2023","11.05.2025","II d","2d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Выдан взамен СС ОГН4.BY.1104.В01760"
"ОГН4.RU.1104.B02277","П03957;","Общество с ограниченной ответственностью Пермские насосы»","Российская Федерация, 614056, Пермский край, г. Пермь, ул. Целинная, д. 2А","+7(342)200-89-99; info@permpump.ru","Общество с ограниченной ответственностью Пермские насосы»","Российская Федерация, 614056, Пермский край, г. Пермь, ул. Целинная, д. 2А","+7(342)200-89-99; info@permpump.ru","Насосы центробежные секционные полупогружные типа НЦСВ и агрегаты электронасосные на их основе. Продукция изготовлена в соответствии с ТУ 3631-001-35778397-2017 с изменениями №1-5 Насосы и агрегаты электронасосные центробежные типа НЦС». Серийный выпуск.","08.02.2023","07.02.2026","Id","1d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1104.B02278","П03958;","Общество с ограниченной ответственностью Пермские насосы»","Российская Федерация, 614056, Пермский край, г. Пермь, ул. Целинная, д. 2А","+7(342)200-89-99; info@permpump.ru","Общество с ограниченной ответственностью Пермские насосы»","Российская Федерация, 614056, Пермский край, г. Пермь, ул. Целинная, д. 2А","+7(342)200-89-99; info@permpump.ru","Насосы центробежные секционные типов: горизонтальный модульный НЦСМ, вертикальный НЦСВ и агрегаты электронасосные на их основе. Продукция изготовлена в соответствии с ТУ 3631-001-35778397-2017 с изменениями №1-5 Насосы и агрегаты электронасосные центробежные типа НЦС». Серийный выпуск.","08.02.2023","07.02.2026","Id","1d","ОС ООО Новые технологии качества», рег. № ОГН4.RU.1104 (ООО Новые технологии качества»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
